"ESTU_TIPODOCUMENTO";"ESTU_NACIONALIDAD";"ESTU_GENERO";"ESTU_FECHANACIMIENTO";"PERIODO";"ESTU_CONSECUTIVO";"ESTU_ESTUDIANTE";"ESTU_PAIS_RESIDE";"ESTU_TIENEETNIA";"ESTU_DEPTO_RESIDE";"ESTU_COD_RESIDE_DEPTO";"ESTU_MCPIO_RESIDE";"ESTU_COD_RESIDE_MCPIO";"FAMI_ESTRATOVIVIENDA";"FAMI_PERSONASHOGAR";"FAMI_CUARTOSHOGAR";"FAMI_EDUCACIONPADRE";"FAMI_EDUCACIONMADRE";"FAMI_TRABAJOLABORPADRE";"FAMI_TRABAJOLABORMADRE";"FAMI_TIENEINTERNET";"FAMI_TIENESERVICIOTV";"FAMI_TIENECOMPUTADOR";"FAMI_TIENELAVADORA";"FAMI_TIENEHORNOMICROOGAS";"FAMI_TIENEAUTOMOVIL";"FAMI_TIENEMOTOCICLETA";"FAMI_TIENECONSOLAVIDEOJUEGOS";"FAMI_NUMLIBROS";"FAMI_COMELECHEDERIVADOS";"FAMI_COMECARNEPESCADOHUEVO";"FAMI_COMECEREALFRUTOSLEGUMBRE";"FAMI_SITUACIONECONOMICA";"ESTU_DEDICACIONLECTURADIARIA";"ESTU_DEDICACIONINTERNET";"ESTU_HORASSEMANATRABAJA";"ESTU_TIPOREMUNERACION";"COLE_CODIGO_ICFES";"COLE_COD_DANE_ESTABLECIMIENTO";"COLE_NOMBRE_ESTABLECIMIENTO";"COLE_GENERO";"COLE_NATURALEZA";"COLE_CALENDARIO";"COLE_BILINGUE";"COLE_CARACTER";"COLE_COD_DANE_SEDE";"COLE_NOMBRE_SEDE";"COLE_SEDE_PRINCIPAL";"COLE_AREA_UBICACION";"COLE_JORNADA";"COLE_COD_MCPIO_UBICACION";"COLE_MCPIO_UBICACION";"COLE_COD_DEPTO_UBICACION";"COLE_DEPTO_UBICACION";"ESTU_PRIVADO_LIBERTAD";"ESTU_COD_MCPIO_PRESENTACION";"ESTU_MCPIO_PRESENTACION";"ESTU_DEPTO_PRESENTACION";"ESTU_COD_DEPTO_PRESENTACION";"PUNT_LECTURA_CRITICA";"PERCENTIL_LECTURA_CRITICA";"DESEMP_LECTURA_CRITICA";"PUNT_MATEMATICAS";"PERCENTIL_MATEMATICAS";"DESEMP_MATEMATICAS";"PUNT_C_NATURALES";"PERCENTIL_C_NATURALES";"DESEMP_C_NATURALES";"PUNT_SOCIALES_CIUDADANAS";"PERCENTIL_SOCIALES_CIUDADANAS";"DESEMP_SOCIALES_CIUDADANAS";"PUNT_INGLES";"PERCENTIL_INGLES";"DESEMP_INGLES";"PUNT_GLOBAL";"PERCENTIL_GLOBAL";"ESTU_INSE_INDIVIDUAL";"ESTU_NSE_INDIVIDUAL";"ESTU_NSE_ESTABLECIMIENTO";"ESTU_ESTADOINVESTIGACION";"ESTU_GENERACION-E";"PERCENTIL_ESPECIAL_GLOBAL";"ESTU_ETNIA"
"TI";"COLOMBIA";"F";"1/11/2000";20194;"SB11201940104060";"ESTUDIANTE";"COLOMBIA";"No";"BOLIVAR";13;"MONTECRISTO";13458;"Sin Estrato";"7 a 8";"Tres";"Ninguno";"Ninguno";"Es agricultor, pesquero o jornalero";"Trabaja en el hogar, no trabaja o estudia";"No";"No";"No";"No";"Si";"No";"Si";"No";"0 A 10 LIBROS";"Nunca o rara vez comemos eso";"1 o 2 veces por semana";"1 o 2 veces por semana";"Igual";"30 minutos o menos";"Más de 3 horas";"0";"No";71332;213006000000;"I.E.T.A. Y MINERA MONTECRISTO";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO";213006000000;"I.E.T.A. Y MINERA MONTECRISTO - SEDE PRINCIPAL";"S";"URBANO";"MAÑANA";13458;"MONTECRISTO";13;"BOLIVAR";"N";13006;"ACHÍ";"BOLIVAR";13;31;2;1;35;11;1;39;22;1;30;9;1;28;4;"A-";167;5;29.0327637;1;2;"PUBLICAR";"GENERACION E - GRATUIDAD";;
"TI";"COLOMBIA";"M";"30/08/2002";20194;"SB11201940058729";"ESTUDIANTE";"COLOMBIA";"No";"CUNDINAMARCA";25;"FUSAGASUGÁ";25290;"Estrato 3";"5 a 6";"Dos";"Secundaria (Bachillerato) incompleta";"Secundaria (Bachillerato) completa";"Trabaja por cuenta propia (por ejemplo plomero, electricista)";"Trabaja en el hogar, no trabaja o estudia";"Si";"Si";"Si";"Si";"No";"No";"No";"Si";"11 A 25 LIBROS";"3 a 5 veces por semana";"1 o 2 veces por semana";"1 o 2 veces por semana";"Igual";"30 minutos o menos";"Entre 30 y 60 minutos";"0";"No";8607;125290000000;"INSTITUCION EDUCATIVA MUNICIPAL CARLOS LOZANO Y LOZANO";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";125290000000;"CARLOS LOZANO Y LOZANO";"S";"URBANO";"MAÑANA";25290;"FUSAGASUGÁ";25;"CUNDINAMARCA";"N";25290;"FUSAGASUGÁ";"CUNDINAMARCA";25;51;47;3;44;31;2;47;47;2;41;38;2;49;54;"A1";230;40;52.22212873;3;2;"PUBLICAR";"NO";;
"TI";"COLOMBIA";"M";"30/07/2002";20194;"SB11201940103267";"ESTUDIANTE";"COLOMBIA";"No";"CAUCA";19;"SANTANDER DE QUILICHAO";19698;"Estrato 2";"3 a 4";"Cuatro";"Secundaria (Bachillerato) incompleta";"Secundaria (Bachillerato) incompleta";"No aplica";"Trabaja en el hogar, no trabaja o estudia";"No";"Si";"Si";"Si";"Si";"No";"No";"No";"11 A 25 LIBROS";"1 o 2 veces por semana";"Todos o casi todos los días";"Todos o casi todos los días";"Mejor";"30 minutos o menos";"Entre 30 y 60 minutos";"Menos de 10 horas";"Si, en efectivo";7484;119698000000;"INSTITUCION EDUCATIVA INSTITUTO TECNICO DE SANTANDER DE QUILICHAO";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO";119698000000;"INSTITUTO TECNICO DE SANTANDER DE QUILICHAO (sede principal)";"S";"URBANO";"MAÑANA";19698;"SANTANDER DE QUILICHAO";19;"CAUCA";"N";19698;"SANTANDER DE QUILICHAO";"CAUCA";19;58;70;3;51;52;3;57;79;3;57;79;3;44;40;"A-";274;70;48.97055695;2;2;"PUBLICAR";"NO";;
"TI";"COLOMBIA";"M";"28/04/2002";20194;"SB11201940334946";"ESTUDIANTE";"COLOMBIA";"Si";"CORDOBA";23;"PURÍSIMA DE LA CONCEPCIÓN";23586;"Estrato 1";"3 a 4";"Dos";"Primaria incompleta";"Primaria completa";"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc";"Trabaja en el hogar, no trabaja o estudia";"No";"No";"No";"No";"No";"No";"No";"No";"0 A 10 LIBROS";"1 o 2 veces por semana";"1 o 2 veces por semana";"1 o 2 veces por semana";"Igual";"Entre 1 y 2 horas";"30 minutos o menos";"Menos de 10 horas";"Si, en efectivo";175067;123586000000;"INSTITUCION EDUCATIVA JUAN XXIII";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";123586000000;"JUAN XXIII";"S";"URBANO";"TARDE";23586;"PURÍSIMA DE LA CONCEPCIÓN";23;"CORDOBA";"N";23417;"LORICA";"CORDOBA";23;40;14;2;44;31;2;42;31;2;36;24;1;38;22;"A-";202;21;36.00871076;1;2;"PUBLICAR";"GENERACION E - GRATUIDAD";;"Zenú"
"TI";"COLOMBIA";"M";"10/03/2003";20194;"SB11201940003667";"ESTUDIANTE";"COLOMBIA";"No";"BOGOTÁ";11;"BOGOTÁ D.C.";11001;"Estrato 2";"3 a 4";"Dos";"Secundaria (Bachillerato) incompleta";"Primaria incompleta";"Es operario de máquinas o conduce vehículos (taxita, chofer)";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Si";"Si";"Si";"Si";"Si";"No";"No";"No";"11 A 25 LIBROS";"Todos o casi todos los días";"3 a 5 veces por semana";"1 o 2 veces por semana";"Igual";"Entre 30 y 60 minutos";"Entre 30 y 60 minutos";"0";"No";168278;311001000000;"LICEO SANTA ISABEL";"MIXTO";"NO OFICIAL";"A";"N";"ACADÉMICO";311001000000;"LICEO SANTA ISABEL - SEDE PRINCIPAL";"S";"URBANO";"COMPLETA";11001;"BOGOTÁ D.C.";11;"BOGOTÁ";"N";11001;"BOGOTÁ D.C.";"BOGOTÁ";11;57;68;3;47;38;2;56;76;3;53;69;2;69;94;"B1";272;69;50.65311061;2;3;"PUBLICAR";"NO";;
"TI";"COLOMBIA";"M";"14/10/2002";20194;"SB11201940171956";"ESTUDIANTE";"COLOMBIA";"No";"VALLE";76;"CALI";76001;"Estrato 1";"3 a 4";"Dos";"Primaria incompleta";"Secundaria (Bachillerato) completa";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Si";"No";"Si";"Si";"Si";"No";"Si";"No";"11 A 25 LIBROS";"Todos o casi todos los días";"1 o 2 veces por semana";"3 a 5 veces por semana";"Igual";"30 minutos o menos";"30 minutos o menos";"0";"No";122846;176001000000;"INSTITUCION EDUCATIVA JUAN PABLO II";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO/ACADÉMICO";176001000000;"PORTETE DE TARQUI";"N";"URBANO";"MAÑANA";76001;"CALI";76;"VALLE";"N";76001;"CALI";"VALLE";76;51;45;3;51;50;3;51;60;2;47;56;2;43;36;"A-";247;53;49.09493251;2;2;"PUBLICAR";"NO";;
"TI";"COLOMBIA";"F";"4/05/2002";20194;"SB11201940243663";"ESTUDIANTE";"COLOMBIA";"No";"BOGOTÁ";11;"BOGOTÁ D.C.";11001;"Estrato 2";"5 a 6";"Tres";"Secundaria (Bachillerato) completa";"Técnica o tecnológica completa";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";"Trabaja como profesional (por ejemplo médico, abogado, ingeniero)";"Si";"Si";"Si";"Si";"No";"No";"Si";"No";"11 A 25 LIBROS";"Todos o casi todos los días";"3 a 5 veces por semana";"3 a 5 veces por semana";"Peor";"Entre 1 y 2 horas";"Entre 1 y 3 horas";"0";"No";148437;111001000000;"COLEGIO ALFONSO LOPEZ MICHELSEN (PUERTA DEL SOL) ( IED)";"MIXTO";"OFICIAL";"A";;"ACADÉMICO";111001000000;"ALFONSO LÒPEZ MICHELSEN (PUERTA DEL SOL INST EDUC DIST)";"S";"URBANO";"TARDE";11001;"BOGOTÁ D.C.";11;"BOGOTÁ";"N";11001;"BOGOTÁ D.C.";"BOGOTÁ";11;46;29;2;52;53;3;46;45;2;46;54;2;49;53;"A1";238;46;55.99465915;3;3;"PUBLICAR";"NO";;
"TI";"COLOMBIA";"M";"28/02/2003";20194;"SB11201940359933";"ESTUDIANTE";"COLOMBIA";"No";"CORDOBA";23;"PLANETA RICA";23555;"Estrato 3";"3 a 4";"Tres";"Secundaria (Bachillerato) completa";"Secundaria (Bachillerato) incompleta";"No aplica";"No sabe";"No";"Si";"No";"No";"No";"No";"No";"No";"0 A 10 LIBROS";"1 o 2 veces por semana";"Todos o casi todos los días";"Nunca o rara vez comemos eso";"Peor";"30 minutos o menos";"Entre 30 y 60 minutos";"Entre 11 y 20 horas";"Si, en efectivo";103226;123555000000;"INST.EDUC.ALFONSO BUILES CORREA";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";123555000000;"INST.EDUC.ALFONSO BUILES CORREA";"S";"URBANO";"TARDE";23555;"PLANETA RICA";23;"CORDOBA";"N";23555;"PLANETA RICA";"CORDOBA";23;53;53;3;64;87;3;62;89;3;30;8;1;39;26;"A-";256;59;40.36442673;1;2;"PUBLICAR";"GENERACION E - GRATUIDAD";;
"CC";"COLOMBIA";"F";"19/06/1995";20194;"SB11201940393229";"ESTUDIANTE";"COLOMBIA";"No";"CALDAS";17;"SUPÍA";17777;;"3 a 4";"Dos";;;"No aplica";"Trabaja como personal de limpieza, mantenimiento, seguridad o construcción";;;"No";"No";"No";"No";"No";"No";;;;;"Igual";;;"0";"No";89649;117777000000;"INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS";"MIXTO";"OFICIAL";"A";"N";"TÉCNICO";117777000000;"INSTITUCION EDUCATIVA FRANCISCO JOSE DE CALDAS - SEDE PRINCIPAL";"S";"URBANO";"NOCHE";17777;"SUPÍA";17;"CALDAS";"N";17614;"RIOSUCIO";"CALDAS";17;46;29;2;41;24;2;42;32;2;44;46;2;47;47;"A-";218;32;36.41994158;1;2;"PUBLICAR";"GENERACION E - GRATUIDAD";;
"TI";"COLOMBIA";"M";"26/08/2003";20194;"SB11201940386522";"ESTUDIANTE";"COLOMBIA";"No";"BOYACA";15;"TUNJA";15001;"Estrato 2";"3 a 4";"Dos";"Secundaria (Bachillerato) completa";"Educación profesional completa";"Es dueño de un negocio pequeño (tiene pocos empleados o no tiene, por ejemplo tienda, papelería, etc";"Tiene un trabajo de tipo auxiliar administrativo (por ejemplo, secretario o asistente)";"No";"Si";"No";"Si";"No";"No";"No";"No";"26 A 100 LIBROS";"1 o 2 veces por semana";"1 o 2 veces por semana";"3 a 5 veces por semana";"Igual";"Entre 30 y 60 minutos";"30 minutos o menos";"Entre 11 y 20 horas";"No";4754;115001000000;"COLEGIO DE BOYACA";"MIXTO";"OFICIAL";"A";"N";"ACADÉMICO";115001000000;"COLEGIO DE BOYACA";"S";"URBANO";"COMPLETA";15001;"TUNJA";15;"BOYACA";"N";15001;"TUNJA";"BOYACA";15;78;100;4;72;97;4;67;96;3;68;96;3;77;99;"B1";358;99;49.26996507;2;3;"PUBLICAR";"GENERACION E - EXCELENCIA NACIONAL";;
